dura mater of anterior rootlet of seventh thoracic nerve,RID28284.Anatomy
dura mater of anterior rootlet of eleventh thoracic nerve,RID28296.Anatomy
dura mater of anterior rootlet of tenth thoracic nerve,RID28293.Anatomy
dura mater of anterior rootlet of third thoracic nerve,RID28272.Anatomy
dura mater of anterior rootlet of right sixth thoracic nerve,RID28282.Anatomy
dura mater of anterior rootlet of left sixth thoracic nerve,RID28283.Anatomy
dura mater of anterior rootlet of right ninth thoracic nerve,RID28291.Anatomy
dura mater of anterior rootlet of left ninth thoracic nerve,RID28292.Anatomy
dura mater of anterior rootlet of right second thoracic nerve,RID28270.Anatomy
dura mater of anterior rootlet of left second thoracic nerve,RID28271.Anatomy
dura mater of anterior rootlet of left twelfth thoracic nerve,RID28301.Anatomy
dura mater of anterior rootlet of right twelfth thoracic nerve,RID28300.Anatomy
